id,task,label,probability,model,is_multilabel
5968,Condition,Psychiatric condition,1.0,manual_annotation,True
5968,Condition,Depression,1.0,manual_annotation,True
6000,Condition,Psychiatric condition,1.0,manual_annotation,True
6000,Condition,Post-traumatic stress disorder (PTSD),1.0,manual_annotation,True
6015,Condition,Healthy Participants,1.0,manual_annotation,True
6044,Condition,Psychiatric condition,1.0,manual_annotation,True
6044,Condition,Other addictions (e.g. smoking),1.0,manual_annotation,True
6103,Condition,Psychiatric condition,1.0,manual_annotation,True
6103,Condition,Post-traumatic stress disorder (PTSD),1.0,manual_annotation,True
6221,Condition,Psychiatric condition,1.0,manual_annotation,True
6221,Condition,Depression,1.0,manual_annotation,True
6855,Condition,Healthy Participants,1.0,manual_annotation,True
7174,Condition,Recreational Drug Use,1.0,manual_annotation,True
7174,Condition,Healthy Participants,1.0,manual_annotation,True
7190,Condition,Healthy Participants,1.0,manual_annotation,True
7860,Condition,Psychiatric condition,1.0,manual_annotation,True
7860,Condition,Alcoholism,1.0,manual_annotation,True
8345,Condition,Healthy Participants,1.0,manual_annotation,True
8596,Condition,Recreational Drug Use,1.0,manual_annotation,True
8596,Condition,Healthy Participants,1.0,manual_annotation,True
8606,Condition,Psychiatric condition,1.0,manual_annotation,True
8606,Condition,Anxiety,1.0,manual_annotation,True
8889,Condition,Healthy Participants,1.0,manual_annotation,True
9175,Condition,Psychiatric condition,1.0,manual_annotation,True
9175,Condition,Depression,1.0,manual_annotation,True
56,Condition,Psychiatric condition,1.0,manual_annotation,True
56,Condition,Depression,1.0,manual_annotation,True
128,Condition,Psychiatric condition,1.0,manual_annotation,True
128,Condition,Depression,1.0,manual_annotation,True
159,Condition,Healthy Participants,1.0,manual_annotation,True
254,Condition,Psychiatric condition,1.0,manual_annotation,True
254,Condition,Depression,1.0,manual_annotation,True
382,Condition,Psychiatric condition,1.0,manual_annotation,True
382,Condition,Depression,1.0,manual_annotation,True
564,Condition,Psychiatric condition,1.0,manual_annotation,True
564,Condition,Depression,1.0,manual_annotation,True
695,Condition,Healthy Participants,1.0,manual_annotation,True
748,Condition,Psychiatric condition,1.0,manual_annotation,True
748,Condition,Healthy Participants,1.0,manual_annotation,True
790,Condition,Healthy Participants,1.0,manual_annotation,True
941,Condition,Healthy Participants,1.0,manual_annotation,True
1254,Condition,Healthy Participants,1.0,manual_annotation,True
1281,Condition,Recreational Drug Use,1.0,manual_annotation,True
1281,Condition,Healthy Participants,1.0,manual_annotation,True
1631,Condition,Recreational Drug Use,1.0,manual_annotation,True
1631,Condition,Healthy Participants,1.0,manual_annotation,True
1738,Condition,Recreational Drug Use,1.0,manual_annotation,True
1738,Condition,Healthy Participants,1.0,manual_annotation,True
1825,Condition,Healthy Participants,1.0,manual_annotation,True
1829,Condition,Psychiatric condition,1.0,manual_annotation,True
1829,Condition,Anxiety,1.0,manual_annotation,True
1958,Condition,Healthy Participants,1.0,manual_annotation,True
2005,Condition,Recreational Drug Use,1.0,manual_annotation,True
2005,Condition,Healthy Participants,1.0,manual_annotation,True
2023,Condition,Psychiatric condition,1.0,manual_annotation,True
2023,Condition,Depression,1.0,manual_annotation,True
2117,Condition,Psychiatric condition,1.0,manual_annotation,True
2117,Condition,Healthy Participants,1.0,manual_annotation,True
2153,Condition,Psychiatric condition,1.0,manual_annotation,True
2153,Condition,Anxiety,1.0,manual_annotation,True
2153,Condition,Healthy Participants,1.0,manual_annotation,True
2358,Condition,Recreational Drug Use,1.0,manual_annotation,True
2358,Condition,Healthy Participants,1.0,manual_annotation,True
2389,Condition,Psychiatric condition,1.0,manual_annotation,True
2389,Condition,Depression,1.0,manual_annotation,True
2389,Condition,Palliative Setting,1.0,manual_annotation,True
2422,Condition,Psychiatric condition,1.0,manual_annotation,True
2422,Condition,Depression,1.0,manual_annotation,True
2482,Condition,Healthy Participants,1.0,manual_annotation,True
2556,Condition,Psychiatric condition,1.0,manual_annotation,True
2556,Condition,Depression,1.0,manual_annotation,True
2830,Condition,Recreational Drug Use,1.0,manual_annotation,True
2830,Condition,Healthy Participants,1.0,manual_annotation,True
3100,Condition,Healthy Participants,1.0,manual_annotation,True
3178,Condition,Healthy Participants,1.0,manual_annotation,True
3354,Condition,Psychiatric condition,1.0,manual_annotation,True
3354,Condition,Depression,1.0,manual_annotation,True
3480,Condition,Recreational Drug Use,1.0,manual_annotation,True
3480,Condition,Healthy Participants,1.0,manual_annotation,True
3533,Condition,Healthy Participants,1.0,manual_annotation,True
3604,Condition,Healthy Participants,1.0,manual_annotation,True
3631,Condition,Healthy Participants,1.0,manual_annotation,True
3719,Condition,Recreational Drug Use,1.0,manual_annotation,True
3719,Condition,Healthy Participants,1.0,manual_annotation,True
3765,Condition,Healthy Participants,1.0,manual_annotation,True
4019,Condition,Psychiatric condition,1.0,manual_annotation,True
4019,Condition,Alcoholism,1.0,manual_annotation,True
4292,Condition,Recreational Drug Use,1.0,manual_annotation,True
4292,Condition,Healthy Participants,1.0,manual_annotation,True
4410,Condition,Psychiatric condition,1.0,manual_annotation,True
4876,Condition,Psychiatric condition,1.0,manual_annotation,True
4876,Condition,Depression,1.0,manual_annotation,True
4969,Condition,Healthy Participants,1.0,manual_annotation,True
5032,Condition,Psychiatric condition,1.0,manual_annotation,True
5032,Condition,Depression,1.0,manual_annotation,True
5274,Condition,Healthy Participants,1.0,manual_annotation,True
5297,Condition,Recreational Drug Use,1.0,manual_annotation,True
5297,Condition,Healthy Participants,1.0,manual_annotation,True
5466,Condition,Healthy Participants,1.0,manual_annotation,True
5738,Condition,Healthy Participants,1.0,manual_annotation,True
5759,Condition,Recreational Drug Use,1.0,manual_annotation,True
5759,Condition,Healthy Participants,1.0,manual_annotation,True
5789,Condition,Psychiatric condition,1.0,manual_annotation,True
6001,Condition,Psychiatric condition,1.0,manual_annotation,True
6001,Condition,Depression,1.0,manual_annotation,True
6007,Condition,(Chronic) Pain,1.0,manual_annotation,True
6022,Condition,Healthy Participants,1.0,manual_annotation,True
6029,Condition,Healthy Participants,1.0,manual_annotation,True
6137,Condition,Psychiatric condition,1.0,manual_annotation,True
6137,Condition,Alcoholism,1.0,manual_annotation,True
6160,Condition,Healthy Participants,1.0,manual_annotation,True
6171,Condition,(Chronic) Pain,1.0,manual_annotation,True
6364,Condition,Psychiatric condition,1.0,manual_annotation,True
6364,Condition,Depression,1.0,manual_annotation,True
6403,Condition,Healthy Participants,1.0,manual_annotation,True
6449,Condition,Psychiatric condition,1.0,manual_annotation,True
6449,Condition,Depression,1.0,manual_annotation,True
6449,Condition,Healthy Participants,1.0,manual_annotation,True
6563,Condition,Recreational Drug Use,1.0,manual_annotation,True
6563,Condition,Healthy Participants,1.0,manual_annotation,True
6566,Condition,Psychiatric condition,1.0,manual_annotation,True
6566,Condition,Healthy Participants,1.0,manual_annotation,True
6591,Condition,(Chronic) Pain,1.0,manual_annotation,True
6954,Condition,Psychiatric condition,1.0,manual_annotation,True
6954,Condition,Alcoholism,1.0,manual_annotation,True
7097,Condition,Psychiatric condition,1.0,manual_annotation,True
7097,Condition,Depression,1.0,manual_annotation,True
7097,Condition,Healthy Participants,1.0,manual_annotation,True
7224,Condition,Psychiatric condition,1.0,manual_annotation,True
7224,Condition,Depression,1.0,manual_annotation,True
7224,Condition,Healthy Participants,1.0,manual_annotation,True
7368,Condition,Recreational Drug Use,1.0,manual_annotation,True
7368,Condition,Healthy Participants,1.0,manual_annotation,True
7425,Condition,Recreational Drug Use,1.0,manual_annotation,True
7425,Condition,Healthy Participants,1.0,manual_annotation,True
7442,Condition,Recreational Drug Use,1.0,manual_annotation,True
7442,Condition,Healthy Participants,1.0,manual_annotation,True
7483,Condition,Psychiatric condition,1.0,manual_annotation,True
7483,Condition,Depression,1.0,manual_annotation,True
7483,Condition,Palliative Setting,1.0,manual_annotation,True
7554,Condition,Psychiatric condition,1.0,manual_annotation,True
7554,Condition,Depression,1.0,manual_annotation,True
7573,Condition,Psychiatric condition,1.0,manual_annotation,True
7573,Condition,Depression,1.0,manual_annotation,True
7573,Condition,Healthy Participants,1.0,manual_annotation,True
7684,Condition,Healthy Participants,1.0,manual_annotation,True
7903,Condition,Healthy Participants,1.0,manual_annotation,True
7945,Condition,Psychiatric condition,1.0,manual_annotation,True
7945,Condition,Depression,1.0,manual_annotation,True
8143,Condition,Recreational Drug Use,1.0,manual_annotation,True
8143,Condition,Healthy Participants,1.0,manual_annotation,True
8248,Condition,Healthy Participants,1.0,manual_annotation,True
8320,Condition,Healthy Participants,1.0,manual_annotation,True
8387,Condition,Healthy Participants,1.0,manual_annotation,True
8457,Condition,Healthy Participants,1.0,manual_annotation,True
8555,Condition,Healthy Participants,1.0,manual_annotation,True
8611,Condition,Psychiatric condition,1.0,manual_annotation,True
8611,Condition,Depression,1.0,manual_annotation,True
8662,Condition,Healthy Participants,1.0,manual_annotation,True
8706,Condition,Healthy Participants,1.0,manual_annotation,True
8878,Condition,Healthy Participants,1.0,manual_annotation,True
9044,Condition,Recreational Drug Use,1.0,manual_annotation,True
9044,Condition,Healthy Participants,1.0,manual_annotation,True
9339,Condition,Psychiatric condition,1.0,manual_annotation,True
9339,Condition,Depression,1.0,manual_annotation,True
9572,Condition,Psychiatric condition,1.0,manual_annotation,True
9572,Condition,Depression,1.0,manual_annotation,True
135,Condition,Psychiatric condition,1.0,manual_annotation,True
135,Condition,Depression,1.0,manual_annotation,True
687,Condition,(Chronic) Pain,1.0,manual_annotation,True
2425,Condition,Psychiatric condition,1.0,manual_annotation,True
2425,Condition,Depression,1.0,manual_annotation,True
3044,Condition,Recreational Drug Use,1.0,manual_annotation,True
3044,Condition,Healthy Participants,1.0,manual_annotation,True
3216,Condition,Psychiatric condition,1.0,manual_annotation,True
3216,Condition,Depression,1.0,manual_annotation,True
4038,Condition,Psychiatric condition,1.0,manual_annotation,True
4038,Condition,Depression,1.0,manual_annotation,True
4038,Condition,Anxiety,1.0,manual_annotation,True
4038,Condition,Palliative Setting,1.0,manual_annotation,True
5679,Condition,Recreational Drug Use,1.0,manual_annotation,True
5679,Condition,Healthy Participants,1.0,manual_annotation,True
5834,Condition,Psychiatric condition,1.0,manual_annotation,True
5834,Condition,Depression,1.0,manual_annotation,True
6034,Condition,Healthy Participants,1.0,manual_annotation,True
6357,Condition,Psychiatric condition,1.0,manual_annotation,True
6357,Condition,Depression,1.0,manual_annotation,True
6952,Condition,Recreational Drug Use,1.0,manual_annotation,True
6952,Condition,Healthy Participants,1.0,manual_annotation,True
7078,Condition,Psychiatric condition,1.0,manual_annotation,True
7078,Condition,Depression,1.0,manual_annotation,True
7110,Condition,Psychiatric condition,1.0,manual_annotation,True
7110,Condition,Depression,1.0,manual_annotation,True
7419,Condition,Substance abuse,1.0,manual_annotation,True
7419,Condition,Recreational Drug Use,1.0,manual_annotation,True
7419,Condition,Healthy Participants,1.0,manual_annotation,True
7451,Condition,Healthy Participants,1.0,manual_annotation,True
8870,Condition,Recreational Drug Use,1.0,manual_annotation,True
8870,Condition,Healthy Participants,1.0,manual_annotation,True
52,Condition,Healthy Participants,1.0,manual_annotation,True
54,Condition,Psychiatric condition,1.0,manual_annotation,True
54,Condition,Depression,1.0,manual_annotation,True
161,Condition,Psychiatric condition,1.0,manual_annotation,True
161,Condition,Post-traumatic stress disorder (PTSD),1.0,manual_annotation,True
162,Condition,Healthy Participants,1.0,manual_annotation,True
164,Condition,Psychiatric condition,1.0,manual_annotation,True
164,Condition,Depression,1.0,manual_annotation,True
180,Condition,Healthy Participants,1.0,manual_annotation,True
221,Condition,Psychiatric condition,1.0,manual_annotation,True
221,Condition,Depression,1.0,manual_annotation,True
260,Condition,Psychiatric condition,1.0,manual_annotation,True
260,Condition,Depression,1.0,manual_annotation,True
260,Condition,Post-traumatic stress disorder (PTSD),1.0,manual_annotation,True
422,Condition,Psychiatric condition,1.0,manual_annotation,True
422,Condition,Other addictions (e.g. smoking),1.0,manual_annotation,True
422,Condition,Recreational Drug Use,1.0,manual_annotation,True
422,Condition,Healthy Participants,1.0,manual_annotation,True
486,Condition,Healthy Participants,1.0,manual_annotation,True
515,Condition,Healthy Participants,1.0,manual_annotation,True
591,Condition,Psychiatric condition,1.0,manual_annotation,True
591,Condition,Depression,1.0,manual_annotation,True
691,Condition,Psychiatric condition,1.0,manual_annotation,True
691,Condition,Depression,1.0,manual_annotation,True
692,Condition,Psychiatric condition,1.0,manual_annotation,True
692,Condition,Depression,1.0,manual_annotation,True
719,Condition,Healthy Participants,1.0,manual_annotation,True
763,Condition,Psychiatric condition,1.0,manual_annotation,True
763,Condition,Depression,1.0,manual_annotation,True
763,Condition,Palliative Setting,1.0,manual_annotation,True
892,Condition,Recreational Drug Use,1.0,manual_annotation,True
892,Condition,Healthy Participants,1.0,manual_annotation,True
933,Condition,Healthy Participants,1.0,manual_annotation,True
1037,Condition,Recreational Drug Use,1.0,manual_annotation,True
1037,Condition,Healthy Participants,1.0,manual_annotation,True
1077,Condition,Recreational Drug Use,1.0,manual_annotation,True
1077,Condition,Healthy Participants,1.0,manual_annotation,True
1083,Condition,Psychiatric condition,1.0,manual_annotation,True
1083,Condition,Other addictions (e.g. smoking),1.0,manual_annotation,True
1238,Condition,Psychiatric condition,1.0,manual_annotation,True
1238,Condition,Depression,1.0,manual_annotation,True
1264,Condition,Psychiatric condition,1.0,manual_annotation,True
1264,Condition,Depression,1.0,manual_annotation,True
1347,Condition,Psychiatric condition,1.0,manual_annotation,True
1347,Condition,Anxiety,1.0,manual_annotation,True
1351,Condition,Psychiatric condition,1.0,manual_annotation,True
1351,Condition,Depression,1.0,manual_annotation,True
1395,Condition,Healthy Participants,1.0,manual_annotation,True
1444,Condition,Psychiatric condition,1.0,manual_annotation,True
1444,Condition,Depression,1.0,manual_annotation,True
1444,Condition,Anxiety,1.0,manual_annotation,True
1451,Condition,Psychiatric condition,1.0,manual_annotation,True
1451,Condition,Depression,1.0,manual_annotation,True
1488,Condition,Psychiatric condition,1.0,manual_annotation,True
1488,Condition,Depression,1.0,manual_annotation,True
1642,Condition,Healthy Participants,1.0,manual_annotation,True
1647,Condition,Psychiatric condition,1.0,manual_annotation,True
1647,Condition,Depression,1.0,manual_annotation,True
1650,Condition,Psychiatric condition,1.0,manual_annotation,True
1650,Condition,Depression,1.0,manual_annotation,True
1683,Condition,Psychiatric condition,1.0,manual_annotation,True
1683,Condition,Healthy Participants,1.0,manual_annotation,True
1687,Condition,Healthy Participants,1.0,manual_annotation,True
1694,Condition,Psychiatric condition,1.0,manual_annotation,True
1694,Condition,Depression,1.0,manual_annotation,True
1710,Condition,Recreational Drug Use,1.0,manual_annotation,True
1710,Condition,Healthy Participants,1.0,manual_annotation,True
1731,Condition,Psychiatric condition,1.0,manual_annotation,True
1731,Condition,Depression,1.0,manual_annotation,True
1782,Condition,Healthy Participants,1.0,manual_annotation,True
1792,Condition,Recreational Drug Use,1.0,manual_annotation,True
1792,Condition,Healthy Participants,1.0,manual_annotation,True
1804,Condition,Psychiatric condition,1.0,manual_annotation,True
1804,Condition,Other addictions (e.g. smoking),1.0,manual_annotation,True
1867,Condition,Healthy Participants,1.0,manual_annotation,True
1879,Condition,Psychiatric condition,1.0,manual_annotation,True
1879,Condition,Depression,1.0,manual_annotation,True
1879,Condition,Anxiety,1.0,manual_annotation,True
1879,Condition,Post-traumatic stress disorder (PTSD),1.0,manual_annotation,True
1884,Condition,Psychiatric condition,1.0,manual_annotation,True
1884,Condition,Depression,1.0,manual_annotation,True
1888,Condition,Recreational Drug Use,1.0,manual_annotation,True
1888,Condition,Healthy Participants,1.0,manual_annotation,True
1939,Condition,Recreational Drug Use,1.0,manual_annotation,True
1939,Condition,Healthy Participants,1.0,manual_annotation,True
2033,Condition,Psychiatric condition,1.0,manual_annotation,True
2033,Condition,Depression,1.0,manual_annotation,True
2035,Condition,Psychiatric condition,1.0,manual_annotation,True
2035,Condition,Depression,1.0,manual_annotation,True
2048,Condition,Recreational Drug Use,1.0,manual_annotation,True
2048,Condition,Healthy Participants,1.0,manual_annotation,True
2088,Condition,Healthy Participants,1.0,manual_annotation,True
2099,Condition,Healthy Participants,1.0,manual_annotation,True
2106,Condition,Healthy Participants,1.0,manual_annotation,True
2161,Condition,Psychiatric condition,1.0,manual_annotation,True
2161,Condition,Healthy Participants,1.0,manual_annotation,True
2223,Condition,Healthy Participants,1.0,manual_annotation,True
2227,Condition,Healthy Participants,1.0,manual_annotation,True
2373,Condition,Psychiatric condition,1.0,manual_annotation,True
2373,Condition,Depression,1.0,manual_annotation,True
2376,Condition,Psychiatric condition,1.0,manual_annotation,True
2376,Condition,Depression,1.0,manual_annotation,True
2376,Condition,Healthy Participants,1.0,manual_annotation,True
2385,Condition,Psychiatric condition,1.0,manual_annotation,True
2385,Condition,Depression,1.0,manual_annotation,True
2395,Condition,Psychiatric condition,1.0,manual_annotation,True
2395,Condition,Depression,1.0,manual_annotation,True
2398,Condition,Psychiatric condition,1.0,manual_annotation,True
2398,Condition,Depression,1.0,manual_annotation,True
2408,Condition,Psychiatric condition,1.0,manual_annotation,True
2408,Condition,Depression,1.0,manual_annotation,True
2426,Condition,Psychiatric condition,1.0,manual_annotation,True
2426,Condition,Depression,1.0,manual_annotation,True
2497,Condition,Psychiatric condition,1.0,manual_annotation,True
2497,Condition,Depression,1.0,manual_annotation,True
2637,Condition,Healthy Participants,1.0,manual_annotation,True
2673,Condition,Healthy Participants,1.0,manual_annotation,True
2863,Condition,Psychiatric condition,1.0,manual_annotation,True
2863,Condition,Alcoholism,1.0,manual_annotation,True
2872,Condition,Psychiatric condition,1.0,manual_annotation,True
2872,Condition,Alcoholism,1.0,manual_annotation,True
2874,Condition,Psychiatric condition,1.0,manual_annotation,True
2874,Condition,Depression,1.0,manual_annotation,True
2915,Condition,Psychiatric condition,1.0,manual_annotation,True
2915,Condition,Depression,1.0,manual_annotation,True
2936,Condition,Healthy Participants,1.0,manual_annotation,True
2995,Condition,Psychiatric condition,1.0,manual_annotation,True
2995,Condition,Other addictions (e.g. smoking),1.0,manual_annotation,True
3012,Condition,Psychiatric condition,1.0,manual_annotation,True
3012,Condition,Depression,1.0,manual_annotation,True
3012,Condition,Anxiety,1.0,manual_annotation,True
3099,Condition,Healthy Participants,1.0,manual_annotation,True
3147,Condition,Psychiatric condition,1.0,manual_annotation,True
3147,Condition,Depression,1.0,manual_annotation,True
3181,Condition,Healthy Participants,1.0,manual_annotation,True
3197,Condition,Healthy Participants,1.0,manual_annotation,True
3205,Condition,Recreational Drug Use,1.0,manual_annotation,True
3205,Condition,Healthy Participants,1.0,manual_annotation,True
3336,Condition,Recreational Drug Use,1.0,manual_annotation,True
3336,Condition,Healthy Participants,1.0,manual_annotation,True
3410,Condition,Healthy Participants,1.0,manual_annotation,True
3442,Condition,Psychiatric condition,1.0,manual_annotation,True
3493,Condition,Recreational Drug Use,1.0,manual_annotation,True
3493,Condition,Healthy Participants,1.0,manual_annotation,True
3592,Condition,Psychiatric condition,1.0,manual_annotation,True
3592,Condition,Depression,1.0,manual_annotation,True
3649,Condition,Healthy Participants,1.0,manual_annotation,True
3653,Condition,Healthy Participants,1.0,manual_annotation,True
3758,Condition,Psychiatric condition,1.0,manual_annotation,True
3758,Condition,Depression,1.0,manual_annotation,True
3774,Condition,Recreational Drug Use,1.0,manual_annotation,True
3774,Condition,Healthy Participants,1.0,manual_annotation,True
3927,Condition,Psychiatric condition,1.0,manual_annotation,True
3927,Condition,Depression,1.0,manual_annotation,True
3956,Condition,Recreational Drug Use,1.0,manual_annotation,True
3956,Condition,Healthy Participants,1.0,manual_annotation,True
4049,Condition,Healthy Participants,1.0,manual_annotation,True
4095,Condition,Psychiatric condition,1.0,manual_annotation,True
4095,Condition,Depression,1.0,manual_annotation,True
4095,Condition,Healthy Participants,1.0,manual_annotation,True
4096,Condition,Recreational Drug Use,1.0,manual_annotation,True
4096,Condition,Healthy Participants,1.0,manual_annotation,True
4101,Condition,Psychiatric condition,1.0,manual_annotation,True
4101,Condition,Other addictions (e.g. smoking),1.0,manual_annotation,True
4141,Condition,Healthy Participants,1.0,manual_annotation,True
4161,Condition,Recreational Drug Use,1.0,manual_annotation,True
4161,Condition,Healthy Participants,1.0,manual_annotation,True
4165,Condition,Psychiatric condition,1.0,manual_annotation,True
4165,Condition,Substance abuse,1.0,manual_annotation,True
4249,Condition,Psychiatric condition,1.0,manual_annotation,True
4249,Condition,Depression,1.0,manual_annotation,True
4249,Condition,Anorexia,1.0,manual_annotation,True
4350,Condition,Healthy Participants,1.0,manual_annotation,True
4356,Condition,Healthy Participants,1.0,manual_annotation,True
4367,Condition,Recreational Drug Use,1.0,manual_annotation,True
4367,Condition,Healthy Participants,1.0,manual_annotation,True
4420,Condition,Psychiatric condition,1.0,manual_annotation,True
4428,Condition,Healthy Participants,1.0,manual_annotation,True
4473,Condition,Recreational Drug Use,1.0,manual_annotation,True
4473,Condition,Healthy Participants,1.0,manual_annotation,True
4494,Condition,Healthy Participants,1.0,manual_annotation,True
4508,Condition,Healthy Participants,1.0,manual_annotation,True
4558,Condition,Psychiatric condition,1.0,manual_annotation,True
4558,Condition,Other addictions (e.g. smoking),1.0,manual_annotation,True
4578,Condition,Healthy Participants,1.0,manual_annotation,True
4581,Condition,Healthy Participants,1.0,manual_annotation,True
4632,Condition,Healthy Participants,1.0,manual_annotation,True
4633,Condition,Healthy Participants,1.0,manual_annotation,True
4639,Condition,Recreational Drug Use,1.0,manual_annotation,True
4639,Condition,Healthy Participants,1.0,manual_annotation,True
4641,Condition,Healthy Participants,1.0,manual_annotation,True
4652,Condition,Recreational Drug Use,1.0,manual_annotation,True
4652,Condition,Healthy Participants,1.0,manual_annotation,True
4729,Condition,Psychiatric condition,1.0,manual_annotation,True
4729,Condition,Depression,1.0,manual_annotation,True
4826,Condition,Healthy Participants,1.0,manual_annotation,True
4893,Condition,Healthy Participants,1.0,manual_annotation,True
4922,Condition,Psychiatric condition,1.0,manual_annotation,True
4922,Condition,Depression,1.0,manual_annotation,True
4966,Condition,Healthy Participants,1.0,manual_annotation,True
5001,Condition,Psychiatric condition,1.0,manual_annotation,True
5001,Condition,Depression,1.0,manual_annotation,True
5048,Condition,Psychiatric condition,1.0,manual_annotation,True
5048,Condition,Depression,1.0,manual_annotation,True
5071,Condition,Healthy Participants,1.0,manual_annotation,True
5082,Condition,Psychiatric condition,1.0,manual_annotation,True
5082,Condition,Depression,1.0,manual_annotation,True
5107,Condition,Psychiatric condition,1.0,manual_annotation,True
5107,Condition,Depression,1.0,manual_annotation,True
5154,Condition,(Chronic) Pain,1.0,manual_annotation,True
5171,Condition,Psychiatric condition,1.0,manual_annotation,True
5171,Condition,Depression,1.0,manual_annotation,True
5213,Condition,Psychiatric condition,1.0,manual_annotation,True
5213,Condition,Depression,1.0,manual_annotation,True
5221,Condition,Palliative Setting,1.0,manual_annotation,True
5231,Condition,Recreational Drug Use,1.0,manual_annotation,True
5231,Condition,Healthy Participants,1.0,manual_annotation,True
5246,Condition,Healthy Participants,1.0,manual_annotation,True
5249,Condition,Psychiatric condition,1.0,manual_annotation,True
5249,Condition,Depression,1.0,manual_annotation,True
5249,Condition,Anxiety,1.0,manual_annotation,True
5249,Condition,Palliative Setting,1.0,manual_annotation,True
5328,Condition,Psychiatric condition,1.0,manual_annotation,True
5328,Condition,Other addictions (e.g. smoking),1.0,manual_annotation,True
5328,Condition,Recreational Drug Use,1.0,manual_annotation,True
5328,Condition,Healthy Participants,1.0,manual_annotation,True
5346,Condition,Psychiatric condition,1.0,manual_annotation,True
5346,Condition,Depression,1.0,manual_annotation,True
5457,Condition,Recreational Drug Use,1.0,manual_annotation,True
5457,Condition,Healthy Participants,1.0,manual_annotation,True
5495,Condition,Psychiatric condition,1.0,manual_annotation,True
5495,Condition,Depression,1.0,manual_annotation,True
5628,Condition,Healthy Participants,1.0,manual_annotation,True
5688,Condition,Psychiatric condition,1.0,manual_annotation,True
5688,Condition,Post-traumatic stress disorder (PTSD),1.0,manual_annotation,True
5828,Condition,Healthy Participants,1.0,manual_annotation,True
5873,Condition,Healthy Participants,1.0,manual_annotation,True
5901,Condition,Healthy Participants,1.0,manual_annotation,True
5917,Condition,Psychiatric condition,1.0,manual_annotation,True
5917,Condition,Depression,1.0,manual_annotation,True
5917,Condition,Healthy Participants,1.0,manual_annotation,True
5919,Condition,Psychiatric condition,1.0,manual_annotation,True
5919,Condition,Depression,1.0,manual_annotation,True
6003,Condition,Psychiatric condition,1.0,manual_annotation,True
6003,Condition,Post-traumatic stress disorder (PTSD),1.0,manual_annotation,True
6016,Condition,Healthy Participants,1.0,manual_annotation,True
6030,Condition,Healthy Participants,1.0,manual_annotation,True
6047,Condition,Psychiatric condition,1.0,manual_annotation,True
6047,Condition,Post-traumatic stress disorder (PTSD),1.0,manual_annotation,True
6058,Condition,Healthy Participants,1.0,manual_annotation,True
6072,Condition,Psychiatric condition,1.0,manual_annotation,True
6072,Condition,Depression,1.0,manual_annotation,True
6096,Condition,Psychiatric condition,1.0,manual_annotation,True
6096,Condition,Anxiety,1.0,manual_annotation,True
6096,Condition,Palliative Setting,1.0,manual_annotation,True
6146,Condition,Psychiatric condition,1.0,manual_annotation,True
6146,Condition,Depression,1.0,manual_annotation,True
6148,Condition,Psychiatric condition,1.0,manual_annotation,True
6148,Condition,Depression,1.0,manual_annotation,True
6157,Condition,Healthy Participants,1.0,manual_annotation,True
6158,Condition,Healthy Participants,1.0,manual_annotation,True
6162,Condition,Psychiatric condition,1.0,manual_annotation,True
6162,Condition,Depression,1.0,manual_annotation,True
6194,Condition,Psychiatric condition,1.0,manual_annotation,True
